Sentence,ORG1,ORG2,ORG3,ORG4,ORG5
1.苏州市吴江城市建设开发有限公司的太湖新城软件园综合大楼室外附属工程已经苏州市吴江区发展和改革委员会，以吴发改行核发[2016]66号批准建设。“资金核定表”（资金核定表编号：无）已经财政审核。工程所需资金来源是自筹现已落实。项目已具备招标条件，现对该项目进行公开招标。,苏州市吴江城市建设开发有限公司,,,,
2.江苏天宏华信工程投资管理咨询有限公司（苏州市吴江区2016年度中介机构信用等级：B）受招标人委托具体负责本工程的招标事宜。,江苏天宏华信工程投资管理咨询有限公司,,,,
;;；建华建材（中国）有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,建华建材（中国）有限公司,,,,
;；采购组织：建华建材（中国）有限公司；;;;;,建华建材（中国）有限公司,,,,
2018-贵阳高科控股集团有限公司-金阳210国道2号加油站新建250kVA变压器工程招标公告,贵阳高科控股集团有限公司,,,,
2018-贵阳高科控股集团有限公司-金阳210国道2号加油站新建250kVA变压器工程,贵阳高科控股集团有限公司,,,,
酒泉市人民医院2018040301采购公告,酒泉市人民医院,,,,
酒泉市人民医院阳光采购2018040301公告,酒泉市人民医院,,,,
【采购计划名称】：酒泉市人民医院阳光采购2018040301,酒泉市人民医院,,,,
中交二公局第六工程有限公司京秦高速活动办法招标采购公告,中交二公局第六工程有限公司,,,,
兰州市西固区人民医院2018040301采购公告,兰州市西固区人民医院,,,,
兰州市西固区人民医院阳光采购2018040202公告,兰州市西固区人民医院,,,,
【采购计划名称】：兰州市西固区人民医院阳光采购2018040202,兰州市西固区人民医院,,,,
;;；建华建材（莱阳）有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,建华建材（莱阳）有限公司,,,,
;；采购组织：建华建材（莱阳）有限公司；;;;;,建华建材（莱阳）有限公司,,,,
东营金茂铝业高科技有限公司（热电化工）的东营金茂化工-苯胺厂原材料纯苯正在进行招标，现公开邀请合格投标人参加报价。,东营金茂铝业高科技有限公司,,,,
项目标名：东营金茂化工-苯胺厂原材料纯苯,东营金茂化工-苯胺厂,,,,
公司名称：东营金茂铝业高科技有限公司（热电化工）,东营金茂铝业高科技有限公司,,,,
2018年-清镇市水利工程建设管理局-清镇市暗流河石榴坝至蔡水段河道治理工程II标段施工招标公告招标公告,清镇市水利工程建设管理局,,,,
2018年-清镇市水利工程建设管理局-清镇市暗流河石榴坝至蔡水段河道治理工程II标段施工招标公告,清镇市水利工程建设管理局,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就黄玉川煤矿风门采购项目递交密封的有竞争性的投标文件。,中国神华国际工程有限公司,神华国能（神东电力）集团公司,,,
1、项目名称：黄玉川煤矿风门采购,黄玉川煤矿,,,,
3、招标范围：黄玉川煤矿风门采购具体项目详见《项目分包及资格要求表》。投标人只能对整体包次项目进行投标，不可以选择包中部分范围进行投标。,黄玉川煤矿,,,,
金华市婺城区雅畈镇中心卫生院电脑的在线询价信息,金华市婺城区雅畈镇中心卫生院,,,,
中国银行股份有限公司宁波市鄞州分行2018年员工电影票采购项目竞争性谈判采购公告,中国银行股份有限公司宁波市鄞州分行,,,,
现中国银行股份有限公司宁波市鄞州分行，对“2018年员工电影票”进行采购，现邀请有意向参加本项目且满足基本资质要求的供应商参加。,中国银行股份有限公司宁波市鄞州分行,,,,
中冠工程管理咨询有限公司http://www.nbzgzj.com,中冠工程管理咨询有限公司,,,,
宁波市国际招标有限公司http://www.nbbidding.com,宁波市国际招标有限公司,,,,
宁波国际投资咨询有限公司http://www.nbgodo.com,宁波国际投资咨询有限公司,,,,
浙江恒盛工程咨询有限公司关于2018年长兴县夏季渔业资源增殖放流鱼种的需求公示,浙江恒盛工程咨询有限公司,,,,
经长兴县政府采购管理部门批准，浙江恒盛工程咨询有限公司将于近期就2018年长兴县夏季渔业资源增殖放流项目进行竞争性谈判招标。现将有关资格条件公布如下，并公开征求意见。,长兴县政府,浙江恒盛工程咨询有限公司,,,
二、征求意见的回复：各供应商及专家提出修改意见和建议的，请于2018年4月9日下午16时前（节假日除外）将书面材料密封后送至浙江恒盛工程咨询有限公司，外地可传真送达，传真：0572-2708550，传真件必须签字（盖章）。联系电话：0572-2199129，联系人：匡伟。,浙江恒盛工程咨询有限公司,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就黄玉川煤矿柱靴柱帽采购递交密封的有竞争性的投标文件。,中国神华国际工程有限公司,神华国能（神东电力）集团公司,,,
1、项目名称：黄玉川煤矿柱靴柱帽采购,黄玉川煤矿,,,,
3、招标范围：黄玉川煤矿柱靴柱帽采购，具体项目详见《项目分包及资格要求表》。投标人只能对整体包次项目进行投标，不可以选择包中部分范围进行投标。,黄玉川煤矿,,,,
乐清市柳市镇第八小学空调的在线询价信息,乐清市柳市镇第八小学,,,,
中国银行股份有限公司宁波市鄞州分行2018年员工生日蛋糕采购项目竞争性谈判采购公告,中国银行股份有限公司宁波市鄞州分行,,,,
现中国银行股份有限公司宁波市鄞州分行，对“2018年员工生日蛋糕”进行采购，现邀请有意向参加本项目且满足基本资质要求的供应商参加。,中国银行股份有限公司宁波市鄞州分行,,,,
2、项目名称：江苏师范大学商用笔记本电脑竞争性谈判采购,江苏师范大学,,,,
5、谈判文件获取：即日起可在“江苏师范大学招标网”网站下载，无需提前购买采购文件。谈判文件如有补充说明或答疑、更改公告，也将在校招标网上进行公布，请供货商自行关注，招标方将不再另行通知。,江苏师范大学,,,,
2018年4月11日14：40整，在江苏师范大学14号楼406室。,江苏师范大学,,,,
神华国能集团有限公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就黄玉川煤矿液压支架维修项目递交密封的有竞争性的投标文件。,神华国能集团有限公司,中国神华国际工程有限公司,,,
1、项目名称：黄玉川煤矿液压支架维修项目,黄玉川煤矿,,,,
3、招标范围：黄玉川煤矿145台ZF21000/25/42D型支架液管、直通、U型卡子等整体更换具体项目详见《项目分包及资格要求表》。投标人只能对整体包次项目进行投标，不可以选择包中部分范围进行投标。,黄玉川煤矿,,,,
中国水电四局南方公司广东中开高速公路第8标段项目部PHC管桩采购项目询价公告,中国水电四局南方公司,,,,
1、凡满足本公告规定的投标人资格要求并有意参加投标者，请于2018年4月9日下午18：00前（北京时间）在中国电建集中采购电子平台（http://ec.powerchina.cn）免费注册、在线报名。,中国电建集中采购电子平台,,,,
山东鲁正拍卖有限公司2018年4月（济宁）机动车拍卖会公告,山东鲁正拍卖有限公司,,,,
单位名称：山东鲁正拍卖有限公司,山东鲁正拍卖有限公司,,,,
山东鲁正拍卖有限公司2018年4月（济宁）机动车拍卖会,山东鲁正拍卖有限公司,,,,
拍卖企业：山东鲁正拍卖有限公司,山东鲁正拍卖有限公司,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就五彩湾电厂锅炉吹灰器运行检修维护服务（三年）项目递交密封的有竞争性的投标文件。,中国神华国际工程有限公司,神华国能（神东电力）集团公司,,,
1、项目名称：五彩湾电厂锅炉吹灰器运行检修维护服务（三年）,五彩湾电厂,,,,
四、采购依据：1、上海铁路局物资采购管理办法、上海铁路局物资采购若干规定和实施细则,上海铁路局,,,,
陕西省紫阳红蝶化工有限公司拟处置房屋建筑物及土地使用权,陕西省紫阳红蝶化工有限公司,,,,
濮阳龙丰纸业有限公司2018年聚酯塑料纸芯、管头询价采购公告,濮阳龙丰纸业有限公司,,,,
濮阳龙丰纸业有限公司将通过中原招标采购交易平台对聚酯塑料纸芯、管头进行询价采购，欢迎相关生产厂家、经销商参与报价。,濮阳龙丰纸业有限公司,,,,
一、项目名称：濮阳龙丰纸业有限公司2018年聚酯塑料纸芯、管头询价采购,濮阳龙丰纸业有限公司,,,,
3、投标保证金，参加报价单位应在开标截止日期前交纳4000元投标保证金，电汇至濮阳龙丰纸业有限公司账户。未成交人的保证金，将予以退还。成交人的投标保证金将不予退还，自动转为其履约保证金。,濮阳龙丰纸业有限公司,,,,
单位名称：濮阳龙丰纸业有限公司,濮阳龙丰纸业有限公司,,,,
中国铁路昆明局集团有限公司昆明车辆段委外清洗床上用品项目需求信息公告,中国铁路昆明局集团有限公司,,,,
中国铁路昆明局集团有限公司昆明车辆段拟床上用品等清洗业务外包，现将该项目的相关需求信息公告如下，诚邀符合资质条件要求的潜在承包商反馈相关信息，并按照中国铁路昆明局集团有限公司的相关规定和程序参与本项目的业务外包工作。,中国铁路昆明局集团有限公司,,,,
1.业务外包组织部门：中国铁路昆明局集团有限公司昆明车辆段,中国铁路昆明局集团有限公司,,,,
凡有意参加本项目的潜在承包商请与中国铁路昆明局集团有限公司物资集中采购中心联系，并将价格询征函于2018年4月9日前传真或邮件发至联系人处（价格询征函格式请下载附件，通过电子邮件传递的请加盖章电子公章）。已在中国铁路昆明局集团有限公司物资设备商务平台注册的承包商请登录下载附件，尚未注册的承包商如有意参与，请与联系人联系索要价格询征函或办理供方注册手续后登录下载附件。,中国铁路昆明局集团有限公司,,,,
本需求信息公告同时在中国铁路总公司物资采购商务平台和中国铁路昆明局集团有限公司物资设备商务平台上发布。本公告不构成要约。物资明细查阅和下载以及承包商注册手续请登录中国铁路昆明局集团有限公司物资设备商务平台（www.ktwzb.com），并按照本公告第三点要求办理。,中国铁路总公司,中国铁路昆明局集团有限公司,,,
询价函：中国铁路昆明局集团有限公司昆明车辆段2018年5月拟委外清洗床上用品，按集团公司提报书面报价的要求，请贵单位在接到询价函后，按照报价表所列内容提供单价，另请附贵单位的营业执照（三证合一）、卫生许可证以及承包业务相关的资质证明等材料，均须加盖贵单位的公章。于2018年4月9日17：00之前传真到昆明车辆段行政办公室（联系人：杨春艳电话：15887154667，传真：0871-66123944），以便能把贵单位作为合格方向上级部门提报。若2018年4月9日17：00之前没能收到贵单位的复函，我们将认为贵单位主动放弃。,中国铁路昆明局集团有限公司,,,,
中国铁路昆明局集团有限公司昆明车辆段2018年4月2日,中国铁路昆明局集团有限公司,,,,
临安区人民法院服务器的在线询价信息,临安区人民法院,,,,
成武县人民医院空调风机盘管询价采购文件,成武县人民医院,,,,
代理机构：河北华溢博通招标有限公司,河北华溢博通招标有限公司,,,,
供应商的资格要求：2.供应商资格要求2.1符合《中华人民共和国政府采购法》第二十二条对供应商的规定；2.2中华人民共和国境内的供应商，营业范围符合本次采购需求；2.3具备建设行政主管部门颁发的建筑工程施工总承包叁级及以上资质，同时具备有效的安全生产许可证；2.4拟派本项目的项目经理必须具备建筑工程专业二级及以上注册建造师资格，具备有效的安全生产考核合格证书（建安B本）且未担任其他在建工程项目的项目经理；2.5企业所在地检察院出具的无行贿受贿档案查询记录；2.6本项目不接受联合体投标。,中华人民共和国政府,,,,
中国人民银行上海分行非标准金银清点查验操作岗位劳务外包项目公开招标公告,中国人民银行上海分行,,,,
公告概要：上海东方投资监理有限公司受中国人民银行上海分行委托，根据《中华人民共和国政府采购法》等有关规定，现对中国人民银行上海分行非标准金银清点查验操作岗位劳务外包项目进行公开招标，欢迎合格的供应商前来投标。,上海东方投资监理有限公司,中国人民银行上海分行,,,
项目名称：中国人民银行上海分行非标准金银清点查验操作岗位劳务外包项目,中国人民银行上海分行,,,,
采购单位：中国人民银行上海分行,中国人民银行上海分行,,,,
代理机构：上海东方投资监理有限公司,上海东方投资监理有限公司,,,,
1、项目名称：中国人民银行上海分行非标准金银清点查验操作岗位劳务外包项目,中国人民银行上海分行,,,,
二、合格的投标人必须具备以下条件：1、符合《中华人民共和国政府采购法》第二十二条规定的供应商；,中华人民共和国政府,,,,
招标人：中国人民银行上海分行,中国人民银行上海分行,,,,
招标代理机构：上海东方投资监理有限公司,上海东方投资监理有限公司,,,,
二、投标人的资格要求：1、符合《中华人民共和国政府采购法》第二十二条规定的供应商；2、公司资产状况良好，参加政府采购活动前3年内在经营活动中没有重大违法记录，具有履行合同所必需的设备和专业技术能力；严格遵守国家有关的法律法规，依法缴纳税收和社会保障资金，具有良好的商业信誉和健全的财务会计制度。3、投标人具有贵金属经营管理业务的相关能力，并具有从事贵金属经营管理经验的相关人员。,中华人民共和国政府,,,,
八、采购项目需要落实的政府采购政策：中华人民共和国政府采购法,中华人民共和国政府,,,,
河北省霸州市人民法院定于2018年5月14日10时至2018年5月15日10时止（延时除外），依法通过人民法院诉讼资产网拍卖平台，以网络电子竞价方式公开对以下标的物按现状进行网络司法拍卖，现公告如下：,河北省霸州市人民法院,人民法院,,,
